date,open,high,low,close,adj close,volume
2016-04-18,4.329999923706056,4.579999923706055,4.300000190734863,4.380000114440918,4.380000114440918,382500
2016-04-19,4.400000095367432,4.5,4.050000190734863,4.179999828338623,4.179999828338623,263400
2016-04-20,4.110000133514403,4.230000019073486,4.0300002098083505,4.0300002098083505,4.0300002098083505,170000
2016-04-21,4.019999980926514,4.179999828338623,4.0,4.070000171661377,4.070000171661377,130600
2016-04-22,4.099999904632568,4.2800002098083505,4.079999923706056,4.179999828338623,4.179999828338623,152600
2016-04-25,4.099999904632568,4.320000171661377,4.010000228881837,4.130000114440918,4.130000114440918,135600
2016-04-26,4.150000095367432,4.2100000381469735,4.050000190734863,4.1599998474121085,4.1599998474121085,92900
2016-04-27,4.199999809265137,4.199999809265137,3.9600000381469727,4.059999942779541,4.059999942779541,203300
2016-04-28,4.559999942779541,4.5900001525878915,4.139999866485597,4.199999809265137,4.199999809265137,949800
2016-04-29,4.369999885559082,4.369999885559082,4.050000190734863,4.050000190734863,4.050000190734863,255200
2016-05-02,4.010000228881837,4.1599998474121085,3.900000095367432,3.920000076293945,3.920000076293945,214700
2016-05-03,4.050000190734863,4.050000190734863,3.7200000286102295,3.7300000190734863,3.7300000190734863,178000
2016-05-04,3.670000076293945,3.7100000381469727,3.4600000381469727,3.470000028610229,3.470000028610229,243100
2016-05-05,3.4800000190734863,3.509999990463257,3.240000009536743,3.2699999809265137,3.2699999809265137,278900
2016-05-06,3.2999999523162837,3.490000009536743,3.2100000381469727,3.4200000762939453,3.4200000762939453,236900
2016-05-09,3.4500000476837163,3.5499999523162837,3.309999942779541,3.4800000190734863,3.4800000190734863,149200
2016-05-10,3.75,3.839999914169312,3.539999961853028,3.740000009536743,3.740000009536743,346100
2016-05-11,3.7000000476837163,3.7899999618530273,3.539999961853028,3.5499999523162837,3.5499999523162837,148800
2016-05-12,3.5299999713897705,3.5499999523162837,3.3499999046325684,3.369999885559082,3.369999885559082,194700
2016-05-13,3.4100000858306885,3.4800000190734863,3.240000009536743,3.3299999237060547,3.3299999237060547,150100
2016-05-16,3.369999885559082,3.5499999523162837,3.369999885559082,3.4300000667572017,3.4300000667572017,72300
2016-05-17,3.509999990463257,3.5299999713897705,3.369999885559082,3.4300000667572017,3.4300000667572017,138200
2016-05-18,3.400000095367432,3.490000009536743,3.3499999046325684,3.369999885559082,3.369999885559082,103500
2016-05-19,3.359999895095825,3.440000057220459,3.2999999523162837,3.309999942779541,3.309999942779541,162300
2016-05-20,3.400000095367432,3.5,3.2999999523162837,3.4500000476837163,3.4500000476837163,139000
2016-05-23,3.470000028610229,3.670000076293945,3.4300000667572017,3.440000057220459,3.440000057220459,126500
2016-05-24,3.5499999523162837,3.5499999523162837,3.3199999332427983,3.4600000381469727,3.4600000381469727,116400
2016-05-25,3.4600000381469727,3.619999885559082,3.4200000762939453,3.559999942779541,3.559999942779541,108400
2016-05-26,3.559999942779541,3.619999885559082,3.4500000476837163,3.4800000190734863,3.4800000190734863,63600
2016-05-27,3.4600000381469727,3.619999885559082,3.4600000381469727,3.5,3.5,119000
2016-05-31,3.470000028610229,3.5899999141693115,3.390000104904175,3.4100000858306885,3.4100000858306885,109300
2016-06-01,3.390000104904175,3.490000009536743,3.3499999046325684,3.390000104904175,3.390000104904175,68200
2016-06-02,3.400000095367432,3.5,3.380000114440918,3.4200000762939453,3.4200000762939453,89100
2016-06-03,3.4300000667572017,3.4800000190734863,3.3399999141693115,3.369999885559082,3.369999885559082,86000
2016-06-06,3.3399999141693115,3.7300000190734863,3.3399999141693115,3.609999895095825,3.609999895095825,357800
